variable_name,readable_name,definition,description,type,units,allowed_values,value_labels,missing_values,source_or_origin,derivation_or_transformation,validation_rules,notes,review_status
bmi,Body mass index,Cleaned BMI used in modeling and obesity derivation,Clinical covariate,numeric,kg/m2,positive,N/A,missing possible,restricted source and supplemental CSV,Uses supplemental BMI when present otherwise original BMI,10-80 expected,"Units inferred from BMI convention",needs_review
bmi_old,Original BMI,BMI from original Stata source before supplemental reconciliation,Used for QC,numeric,kg/m2,positive,N/A,missing possible,final_noempi.dta,Renamed from bmi before merge,10-80 expected,"Private QC variable",needs_review
bmi_csv,Supplemental BMI,BMI imported from supplemental body-size CSV,Used for BMI reconciliation,numeric,kg/m2,positive,N/A,missing possible,ACCT EMPI BMI Weight Height.csv,Destringed during import,10-80 expected,"Private QC variable",needs_review
bmi_diff,BMI difference,Difference between supplemental and original BMI values,QC metric,numeric,kg/m2,N/A,N/A,missing if one source missing,Data_preprocess.do,bmi_csv - bmi_old,review absolute differences,"Private QC variable",needs_review
bmi_from_csv,BMI source indicator,Indicator that cleaned BMI came from supplemental CSV,BMI provenance variable,integer,N/A,0;1,0 = original/source | 1 = supplemental CSV,missing not expected,Data_preprocess.do,Generated from missingness of bmi_csv,must be 0 or 1,"Definition inferred from code",complete
height,Height,Patient height used for body-size models,Clinical covariate,numeric,centimeters or inches,N/A,N/A,missing possible,restricted source and supplemental CSV,Cleaned/reconciled in preprocessing,positive value expected,"Unit needs confirmation from source data",needs_review
height_cm,Height in centimeters,Converted height field used in body surface area calculations,Clinical covariate,numeric,centimeters,positive,N/A,missing possible,Data_preprocess.do,Derived from height after unit handling,80-230 expected,"Review source unit conversion",needs_review
weight,Weight,Patient weight used for body-size models,Clinical covariate,numeric,kilograms or pounds,N/A,N/A,missing possible,restricted source and supplemental CSV,Cleaned/reconciled in preprocessing,positive value expected,"Unit needs confirmation from source data",needs_review
weight_kg,Weight in kilograms,Converted weight field used in body surface area calculations,Clinical covariate,numeric,kilograms,positive,N/A,missing possible,Data_preprocess.do,Derived from weight after unit handling,30-300 expected,"Review source unit conversion",needs_review
bsa,Body surface area,Body surface area used in PA/AA body-size analyses,Derived body-size covariate,numeric,m2,positive,N/A,missing possible,Data_preprocess.do,Calculated from height and weight,1.0-3.5 expected,"Formula should be verified against code before reuse",needs_review
obesity,Obesity ICD indicator,Original obesity diagnosis indicator,Comorbidity covariate,integer,N/A,0;1,0 = No | 1 = Yes,missing possible,restricted source data,None,must be 0 or 1,"ICD definition inferred from variable name",needs_review
obesity_calc,Obesity indicator,Obesity indicator combining ICD obesity and BMI >= 30,Comorbidity covariate,integer,N/A,0;1,0 = Not obese | 1 = Obese,missing possible,Data_preprocess.do,Set to 1 if obesity ICD present or BMI >= 30,must be 0 or 1,"Used in models",complete
hypertension,Hypertension,Hypertension comorbidity indicator,Comorbidity covariate,integer,N/A,0;1,0 = No | 1 = Yes,missing possible,restricted source data,None,must be 0 or 1,"Diagnosis coding source not included",needs_review
diabetes1,Diabetes category 1,Diabetes comorbidity indicator/category used in models,Comorbidity covariate,integer,N/A,N/A,N/A,missing possible,restricted source data,None,integer categorical,"Exact category meaning needs source review",needs_review
diabetes2,Diabetes category 2,Diabetes comorbidity indicator/category used in models,Comorbidity covariate,integer,N/A,N/A,N/A,missing possible,restricted source data,None,integer categorical,"Exact category meaning needs source review",needs_review
diabetes3,Diabetes category 3,Diabetes comorbidity variable used in table/model logic,Comorbidity covariate,integer,N/A,N/A,N/A,missing possible,restricted source data,None,integer categorical,"Exact coding needs source review",needs_review
chf,Congestive heart failure,Congestive heart failure comorbidity indicator,Comorbidity covariate,integer,N/A,0;1,0 = No | 1 = Yes,missing possible,restricted source data,None,must be 0 or 1,"Diagnosis coding source not included",needs_review
pulmdisease,Pulmonary disease,Pulmonary disease comorbidity indicator,Comorbidity covariate,integer,N/A,0;1,0 = No | 1 = Yes,missing possible,restricted source data,None,must be 0 or 1,"Diagnosis coding source not included",needs_review
pulmonarycircdisorders,Pulmonary circulation disorders,Pulmonary circulation disorder comorbidity indicator,Comorbidity covariate,integer,N/A,0;1,0 = No | 1 = Yes,missing possible,restricted source data,None,must be 0 or 1,"Diagnosis coding source not included",needs_review
peripheralvascdisorders,Peripheral vascular disorders,Peripheral vascular disease comorbidity indicator,Comorbidity covariate,integer,N/A,0;1,0 = No | 1 = Yes,missing possible,restricted source data,None,must be 0 or 1,"Diagnosis coding source not included",needs_review
renalfailure,Renal failure,Renal failure comorbidity indicator,Comorbidity covariate,integer,N/A,0;1,0 = No | 1 = Yes,missing possible,restricted source data,None,must be 0 or 1,"Diagnosis coding source not included",needs_review
known_assoc_comorb,Known associated comorbidity,Composite indicator for pulmonary or pulmonary vascular comorbidity strata,Stratification variable,integer,N/A,0;1,0 = No known associated comorbidity | 1 = Known associated comorbidity,missing possible,analysis scripts,Derived from comorbidity indicators,must be 0 or 1,"Exact component list should be reviewed in code",needs_review
mpad,Main pulmonary artery diameter,Main pulmonary artery diameter measured on CTPA,Primary imaging predictor,numeric,millimeters,positive,N/A,missing possible,manual CTPA measurement,None,10-60 expected,"Measurement protocol described in manuscript draft",needs_review
ascendingaorta,Ascending aorta diameter,Ascending aortic diameter measured at same CT level as PA,Imaging covariate,numeric,millimeters,positive,N/A,missing possible,manual CTPA measurement,None,10-70 expected,"Measurement protocol described in manuscript draft",needs_review
mpaaa,PA to ascending aorta ratio,Ratio of main pulmonary artery diameter to ascending aorta diameter,Primary imaging predictor,numeric,ratio,positive,N/A,missing if PA or AA missing,analysis scripts,mpad / ascendingaorta,0.3-2.0 expected,"Also described as PA:AA",complete
sex_norm_mpad,Sex-normalized PA diameter,PA diameter adjusted by sex-specific offset for threshold analyses,Derived imaging predictor,numeric,millimeters,N/A,N/A,missing if mpad or male missing,analysis scripts,Subtract/add sex-specific offset from mpad,reasonable PA diameter range,"Exact offset should be verified in script section",needs_review
sex_norm_aa,Sex-normalized ascending aorta,Ascending aorta diameter adjusted by sex-specific reference approach,Derived imaging predictor,numeric,millimeters,N/A,N/A,missing if AA or sex missing,analysis scripts,Derived from ascendingaorta and sex,reasonable AA range,"Exact transformation inferred",needs_review
mpad_rounded,Rounded PA diameter,Rounded main PA diameter used for spline/prediction plots,Derived imaging predictor,numeric,millimeters,N/A,N/A,missing if mpad missing,analysis scripts,Rounded from mpad,reasonable PA diameter range,"Rounding precision depends on script section",needs_review
aa_rounded,Rounded ascending aorta diameter,Rounded AA diameter used for spline/prediction plots,Derived imaging predictor,numeric,millimeters,N/A,N/A,missing if AA missing,analysis scripts,Rounded from ascendingaorta,reasonable AA range,"Rounding precision depends on script section",needs_review
mpaaa_rounded,Rounded PA:AA ratio,Rounded PA:AA ratio used for spline/prediction plots,Derived imaging predictor,numeric,ratio,N/A,N/A,missing if mpaaa missing,analysis scripts,Rounded from mpaaa,0.3-2.0 expected,"Rounding precision depends on script section",needs_review
enlargedpa,Enlarged PA diameter,Indicator for enlarged pulmonary artery diameter by conventional sex-specific cutoffs,Primary binary exposure,integer,N/A,0;1,0 = Normal PAd | 1 = Enlarged PAd,missing if mpad/sex missing,analysis scripts,Derived from mpad and male using sex-specific thresholds,must be 0 or 1,"Common cutoffs: >27 mm female and >29 mm male",complete
enlargedratio,Increased PA:AA ratio,Indicator for PA:AA ratio above conventional threshold,Primary binary exposure,integer,N/A,0;1,0 = Normal PA:AA | 1 = Increased PA:AA,missing if mpaaa missing,analysis scripts,mpaaa > 0.90,must be 0 or 1,"Threshold based on prior literature",complete
enlargedaa,Enlarged ascending aorta,Indicator for enlarged ascending aorta,Derived binary imaging variable,integer,N/A,0;1,0 = Normal AA | 1 = Enlarged AA,missing if AA missing,analysis scripts,Derived from ascendingaorta using script thresholds,must be 0 or 1,"Exact threshold needs review",needs_review
mpad_cat,PA diameter category,Categorical PA diameter group used in age-stratified survival analyses,Derived categorical exposure,integer,N/A,N/A,N/A,missing possible,analysis scripts,Recoded from mpad/sex-specific thresholds,integer category,"Exact bins need review",needs_review
mpaaa_cat,PA:AA category,Categorical PA:AA group used in age-stratified survival analyses,Derived categorical exposure,integer,N/A,N/A,N/A,missing possible,analysis scripts,Recoded from mpaaa thresholds,integer category,"Exact bins need review",needs_review
aa_cat,Ascending aorta category,Categorical AA size group used in sensitivity analyses,Derived categorical exposure,integer,N/A,N/A,N/A,missing possible,analysis scripts,Recoded from ascendingaorta thresholds,integer category,"Exact bins need review",needs_review
mpad_tertile,PA diameter tertile,Tertile of pulmonary artery diameter,Derived categorical exposure,integer,N/A,1;2;3,1 = Low | 2 = Middle | 3 = High,missing if mpad missing,analysis scripts,Generated from mpad quantiles,must be 1-3,"Quantile cut points data-dependent",complete
mpaaa_tertile,PA:AA tertile,Tertile of PA:AA ratio,Derived categorical exposure,integer,N/A,1;2;3,1 = Low | 2 = Middle | 3 = High,missing if mpaaa missing,analysis scripts,Generated from mpaaa quantiles,must be 1-3,"Quantile cut points data-dependent",complete
aa_tertile,Ascending aorta tertile,Tertile of ascending aorta diameter,Derived categorical exposure,integer,N/A,1;2;3,1 = Low | 2 = Middle | 3 = High,missing if AA missing,analysis scripts,Generated from ascendingaorta quantiles,must be 1-3,"Quantile cut points data-dependent",complete
age_decade,Age decade category,Age grouped by decade for tables and stratified models,Derived demographic variable,integer,N/A,0-5,"0 = <30 | 1 = 30-40 | 2 = 40-50 | 3 = 50-60 | 4 = 60-70 | 5 = 70+",missing if age missing,analysis scripts,Recode from age,must be 0-5,"Definitions visible in Stata labels",complete
age_bi_decade,Age broad category,Age grouped as younger middle older adult strata,Derived demographic variable,integer,N/A,0;1;2,"0 = <50 | 1 = 50-65 | 2 = 65+",missing if age missing,analysis scripts,Recode from age,must be 0-2,"Used for age-stratified plots and models",complete
death,Death indicator,Vital status failure indicator for survival analysis,Primary outcome,integer,N/A,0;1,0 = Alive/censored | 1 = Died,missing not expected,restricted source data,Labeled in preprocessing,must be 0 or 1,"Vital status assessed through local records/registry per draft",needs_review
lastfollowupday,Last follow-up in days,Follow-up time from CTPA to censoring or death in days,Survival time source,numeric,days,nonnegative,N/A,missing possible,restricted source data,None,nonnegative,"Converted to years in scripts",needs_review
lastfollowupyear,Last follow-up in years,Follow-up time from CTPA to censoring or death in years,Survival time variable,numeric,years,nonnegative,N/A,missing possible,analysis scripts,lastfollowupday / 365.25,nonnegative,"Used in stset",complete
time_of_death,Time of death,Time from index CTPA to death among decedents,Outcome timing variable,numeric,years or days,N/A,N/A,missing for non-decedents,analysis scripts,Derived from follow-up fields,nonnegative,"Unit needs confirmation",needs_review
pa_confusion_matrix,PA/PA:AA classification matrix,Four-level classification comparing enlarged PAd and increased PA:AA,Derived categorical exposure,integer,N/A,0-3,N/A,missing possible,analysis scripts,Joint classification of enlargedpa and enlargedratio,must be 0-3,"Value labels should be reviewed",needs_review
pa_aa_confusion_matrix,PA/AA classification matrix,Four-level classification comparing enlarged PAd and enlarged AA,Derived categorical exposure,integer,N/A,0-3,N/A,missing possible,analysis scripts,Joint classification of enlargedpa and enlargedaa,must be 0-3,"Value labels should be reviewed",needs_review
mpad_hat_z,PA diameter z score,Model-based PA diameter residual or z score from age/sex prediction,Derived imaging predictor,numeric,z score,N/A,N/A,missing possible,Age-Metric Analysis.do,Generated after regression prediction,reasonable z-score range,"Exact denominator and reference model need review",needs_review
aa_hat_z,Ascending aorta z score,Model-based AA residual or z score from age/sex prediction,Derived imaging predictor,numeric,z score,N/A,N/A,missing possible,Age-Metric Analysis.do,Generated after regression prediction,reasonable z-score range,"Exact denominator and reference model need review",needs_review
mpaaa_hat_z,PA:AA z score,Model-based PA:AA residual or z score from age/sex prediction,Derived imaging predictor,numeric,z score,N/A,N/A,missing possible,Age-Metric Analysis.do,Generated after regression prediction,reasonable z-score range,"Exact denominator and reference model need review",needs_review
z_mpad_tertile,PA diameter z-score tertile,Tertile of age/sex-normalized PA diameter metric,Derived categorical exposure,integer,N/A,1;2;3,1 = Low | 2 = Middle | 3 = High,missing possible,Age-Metric Analysis.do,Generated from mpad z-score metric,must be 1-3,"Quantile cut points data-dependent",needs_review
z_aa_tertile,AA z-score tertile,Tertile of age/sex-normalized AA metric,Derived categorical exposure,integer,N/A,1;2;3,1 = Low | 2 = Middle | 3 = High,missing possible,Age-Metric Analysis.do,Generated from AA z-score metric,must be 1-3,"Quantile cut points data-dependent",needs_review
z_mpaaa_tertile,PA:AA z-score tertile,Tertile of age/sex-normalized PA:AA metric,Derived categorical exposure,integer,N/A,1;2;3,1 = Low | 2 = Middle | 3 = High,missing possible,Age-Metric Analysis.do,Generated from PA:AA z-score metric,must be 1-3,"Quantile cut points data-dependent",needs_review
mpad_pred_tertile,Predicted PA tertile,Age/sex model predicted PA tertile,Derived categorical exposure,integer,N/A,1;2;3,1 = Low | 2 = Middle | 3 = High,missing possible,Age-Metric Analysis.do,Generated from predicted PA metrics,must be 1-3,"Exact prediction model needs review",needs_review
mpaaa_pred_tertile,Predicted PA:AA tertile,Age/sex model predicted PA:AA tertile,Derived categorical exposure,integer,N/A,1;2;3,1 = Low | 2 = Middle | 3 = High,missing possible,Age-Metric Analysis.do,Generated from predicted PA:AA metrics,must be 1-3,"Exact prediction model needs review",needs_review
rc*,Restricted cubic spline basis,Temporary spline basis variables for continuous predictors,Modeling variables,numeric,N/A,N/A,N/A,temporary,analysis scripts,Generated by mkspline2 for Cox models,temporary,"Wildcard row documents generated rc variables",complete
outputs/stata/<date>/*,Generated outputs,Tables figures logs copied do-files and derived local datasets,Ignored generated output artifacts,file,path,N/A,N/A,N/A,analysis scripts,Written by Stata workflows,do not commit,"Archive only selected historical rendered artifacts through releases",complete
